solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;non_opt_models
Clas;p;0;2col.lp_A00.lparse.undirected.bz2;0;0.016;0;0;0.01;0.0;11904;0;0;0;0
Clas;p;0;2col.lp_B01.lparse.undirected.bz2;0;0.002;0;0;0.0;0.0;8064;0;0;0;0
Clas;p;0;2col.lp_B98.lparse.undirected.bz2;2;0.012;0;0;0.01;0.0;9632;0;59;0;2
Clas;p;0;2col.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2;0.003;0;0;0.0;0.0;8608;0;14;0;2
Clas;p;0;2col.lp_a1210993_20150717_0403_subgraph_train+metro+tram.gml.lparse.undirected.bz2;0;0.009;0;0;0.0;0.0;9584;0;0;0;0
Clas;p;0;2col.lp_a1210993_20150717_0403_subgraph_train+metro.gml.lparse.undirected.bz2;0;0.007;0;0;0.01;0.0;9200;0;0;0;0
Clas;p;0;2col.lp_a1210993_20150717_0403_subgraph_train.gml.lparse.undirected.bz2;0;0.007;0;0;0.0;0.0;9200;0;0;0;0
Clas;p;0;2col.lp_a1210993_20150717_0403_subgraph_tram.gml.lparse.undirected.bz2;2;0.003;0;0;0.0;0.0;8608;0;14;0;2
Clas;p;0;2col.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train+metro+tram.gml.lparse.undirected.bz2;0;0.005;0;0;0.0;0.0;8928;0;0;0;0
Clas;p;0;2col.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train+metro.gml.lparse.undirected.bz2;0;0.005;0;0;0.0;0.0;8880;0;0;0;0
Clas;p;0;2col.lp_agence-mtropolitaine-de-transport_20151217_1355_subgraph_train.gml.lparse.undirected.bz2;0;0.005;0;0;0.0;0.0;8880;0;0;0;0
Clas;p;0;2col.lp_auckland-transport_20140910_0129_subgraph_train+metro+tram.gml.lparse.undirected.bz2;2;0.004;0;0;0.0;0.0;8736;0;20;0;2
Clas;p;0;2col.lp_auckland-transport_20140910_0129_subgraph_train+metro.gml.lparse.undirected.bz2;2;0.004;0;0;0.0;0.0;8736;0;20;0;2
Clas;p;0;2col.lp_auckland-transport_20140910_0129_subgraph_train.gml.lparse.undirected.bz2;2;0.004;0;0;0.0;0.0;8720;0;20;0;2
Clas;p;0;2col.lp_bart-archiver_20140109_0110_subgraph_metro+tram.gml.lparse.undirected.bz2;0;0.003;0;0;0.0;0.0;8608;0;0;0;0
Clas;p;0;2col.lp_bart-archiver_20140109_0110_subgraph_metro.gml.lparse.undirected.bz2;0;0.003;0;0;0.0;0.0;8608;0;0;0;0
Clas;p;0;2col.lp_bart-archiver_20140109_0110_subgraph_train+metro+tram.gml.lparse.undirected.bz2;0;0.003;0;0;0.0;0.0;8624;0;0;0;0
Clas;p;0;2col.lp_bart-archiver_20140109_0110_subgraph_train+metro.gml.lparse.undirected.bz2;0;0.003;0;0;0.0;0.0;8624;0;0;0;0
Clas;p;0;2col.lp_bay-area-rapid-transit_20151217_1022_subgraph_metro+tram.gml.lparse.undirected.bz2;0;0.003;0;0;0.0;0.0;8624;0;0;0;0
Clas;p;0;2col.lp_bay-area-rapid-transit_20151217_1022_subgraph_metro.gml.lparse.undirected.bz2;0;0.003;0;0;0.0;0.0;8624;0;0;0;0
Clas;p;0;2col.lp_bay-area-rapid-transit_20151217_1022_subgraph_train+metro+tram.gml.lparse.undirected.bz2;0;0.004;0;0;0.0;0.0;8608;0;0;0;0
Clas;p;0;2col.lp_bay-area-rapid-transit_20151217_1022_subgraph_train+metro.gml.lparse.undirected.bz2;0;0.004;0;0;0.0;0.0;8608;0;0;0;0
Clas;p;0;2col.lp_bheema.upadhyaya_20100806_0727_subgraph_train+metro+tram.gml.lparse.undirected.bz2;0;0.003;0;0;0.0;0.0;8496;0;0;0;0
Clas;p;0;2col.lp_bheema.upadhyaya_20100806_0727_subgraph_train+metro.gml.lparse.undirected.bz2;0;0.002;0;0;0.0;0.0;8480;0;0;0;0
