solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(PRIM);3630735793;sat_asp_4_100_16302_0.85_2.lparse.bz2;0;300;0;0;300;0.0;21913344;18;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_17471_0.85_5.lparse.bz2;0;300;0;0;300;0.0;21912992;17;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_23243_0.85_10.lparse.bz2;0;300;0;0;300;0.0;79520;23;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_25482_0.85_1.lparse.bz2;0;300;0;0;300;0.0;80832;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_4825_0.85_7.lparse.bz2;0;300;0;0;300;0.0;81456;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_5546_0.85_3.lparse.bz2;0;300;0;0;300;0.0;81760;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_6274_0.85_8.lparse.bz2;0;300;0;0;300;0.0;21913184;18;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_7378_0.85_9.lparse.bz2;0;300;0;0;300;0.0;21913008;18;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_8754_0.85_4.lparse.bz2;0;300;0;0;300;0.0;81056;22;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_100_9676_0.85_6.lparse.bz2;0;300;0;0;300;0.0;21913056;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_11998_0.85_4.lparse.bz2;0;300;0;0;300;0.0;93664;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_12137_0.85_5.lparse.bz2;0;300;0;0;300;0.0;91984;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_12489_0.85_3.lparse.bz2;0;300;0;0;300;0.0;21912816;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_15384_0.85_6.lparse.bz2;0;300;0;0;300;0.0;93904;23;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_16700_0.85_8.lparse.bz2;0;300;0;0;300;0.0;96352;22;0;1;0
