solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(PRIM);3025012838;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.04;0.04;0.05;0.14;0.01;19248;7;10;0;0
DynASP;(PRIM);3630735793;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.05;0.05;0.05;0.15;0.01;19824;7;10;0;0
DynASP;(PRIM);4176834253;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.04;0.05;0.05;0.15;0.0;19184;7;10;0;0
DynASP;(PRIM);554563280;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.04;0.06;0.05;0.16;0.0;19216;7;10;0;0
DynASP;(PRIM);600817034;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.04;0.04;0.05;0.14;0.0;18512;7;10;0;0
DynASP;(INVPRIM);0;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.14;0.04;0.05;0.24;0.0;19376;7;10;0;0
DynASP;(INVPRIM);1881060079;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.12;0.05;0.04;0.22;0.01;19280;7;10;0;0
DynASP;(INVPRIM);2156980077;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.12;0.05;0.05;0.22;0.0;19328;7;10;0;0
DynASP;(INVPRIM);2460733895;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.11;0.04;0.05;0.21;0.0;19376;7;10;0;0
DynASP;(INVPRIM);2987179023;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.24;0.05;0.04;0.34;0.0;19328;7;10;0;0
DynASP;(INVPRIM);3025012838;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.11;0.05;0.04;0.22;0.0;19360;7;10;0;0
DynASP;(INVPRIM);3630735793;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.17;0.04;0.05;0.26;0.0;19472;7;10;0;0
DynASP;(INVPRIM);4176834253;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.17;0.05;0.05;0.27;0.0;18832;7;10;0;0
DynASP;(INVPRIM);554563280;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.16;0.04;0.05;0.26;0.01;18928;7;10;0;0
DynASP;(INVPRIM);600817034;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.19;0.05;0.05;0.3;0.0;18928;7;10;0;0
