solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(INVPRIM);0;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.06;0.24;0.26;0.55;0.01;22736;4;0;0;0
DynASP;(INVPRIM);1881060079;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.04;0.24;0.26;0.56;0.0;22736;4;0;0;0
DynASP;(INVPRIM);2156980077;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.04;0.23;0.27;0.56;0.0;22736;4;0;0;0
DynASP;(INVPRIM);2460733895;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.05;0.24;0.27;0.56;0.01;21456;4;0;0;0
DynASP;(INVPRIM);2987179023;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.05;0.24;0.28;0.58;0.0;22528;4;0;0;0
DynASP;(INVPRIM);3025012838;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.04;0.24;0.27;0.58;0.0;22752;4;0;0;0
DynASP;(INVPRIM);3630735793;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.04;0.25;0.26;0.57;0.0;22752;4;0;0;0
DynASP;(INVPRIM);4176834253;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.05;0.26;0.27;0.59;0.0;22304;4;0;0;0
DynASP;(INVPRIM);554563280;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.05;0.28;0.36;0.7;0.01;22752;4;0;0;0
DynASP;(INVPRIM);600817034;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.05;0.24;0.26;0.56;0.0;22752;4;0;0;0
DynASP;(INC);0;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.16;0.08;0.36;0.62;0.0;22848;4;0;0;0
DynASP;(INC);1881060079;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.1;0.07;0.26;0.44;0.0;22816;4;0;0;0
DynASP;(INC);2156980077;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.08;0.08;0.27;0.44;0.0;22832;4;0;0;0
DynASP;(INC);2460733895;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.14;0.09;0.31;0.55;0.01;22816;4;0;0;0
DynASP;(INC);2987179023;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.08;0.07;0.25;0.4;0.0;22848;4;0;0;0
DynASP;(INC);3025012838;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.1;0.07;0.32;0.5;0.0;22848;4;0;0;0
DynASP;(INC);3630735793;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.08;0.08;0.27;0.44;0.01;22832;4;0;0;0
DynASP;(INC);4176834253;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.08;0.07;0.27;0.44;0.0;22800;4;0;0;0
DynASP;(INC);554563280;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.09;0.09;0.27;0.46;0.0;22832;4;0;0;0
DynASP;(INC);600817034;vertex_cover_better.lp_B98.lparse.undirected.bz2;7092929144;0.16;0.09;0.30;0.55;0.01;22832;4;0;0;0
DynASP;(PRIM);0;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.13;0.19;0.22;0.55;0.0;21744;6;0;0;0
DynASP;(PRIM);1881060079;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.11;0.20;0.22;0.54;0.0;21568;6;0;0;0
DynASP;(PRIM);2156980077;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.12;0.19;0.21;0.54;0.0;21648;6;0;0;0
DynASP;(PRIM);2460733895;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.11;0.19;0.21;0.52;0.01;21568;6;0;0;0
DynASP;(PRIM);2987179023;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.12;0.19;0.21;0.52;0.01;21568;6;0;0;0
DynASP;(PRIM);3025012838;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.11;0.19;0.20;0.52;0.0;21488;6;0;0;0
