solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;non_opt_models
Clas;p;0;qsat_asp_3_10_687_0.85_0.15_7.lparse.bz2;96;0.004;0;0;0.0;0.0;8896;0;0;0;96
Clas;p;0;qsat_asp_3_10_7201_0.95_0.15_1.lparse.bz2;12;0.003;0;0;0.0;0.0;8768;0;0;0;12
Clas;p;0;qsat_asp_3_10_7930_0.45_0.30_3.lparse.bz2;36;0.003;0;0;0.0;0.0;8656;0;0;0;3638
Clas;p;0;qsat_asp_3_10_8329_0.45_0.15_7.lparse.bz2;72;0.002;0;0;0.0;0.0;8608;0;0;0;723
Clas;p;0;qsat_asp_3_10_8719_0.65_0.15_10.lparse.bz2;80;0.003;0;0;0.0;0.0;8688;0;0;0;809
Clas;p;0;qsat_asp_3_10_9443_0.65_0.15_2.lparse.bz2;13482;0.027;0;0;0.03;0.0;8304;0;0;0;13482
Clas;p;0;qsat_asp_3_15_12982_0.45_0.35_1.lparse.bz2;306;0.006;0;0;0.0;0.0;8816;0;0;0;30614
Clas;p;0;qsat_asp_3_15_14305_0.45_0.30_10.lparse.bz2;23582;0.097;0;0;0.08;0.01;8768;0;0;0;23582
Clas;p;0;qsat_asp_3_15_15727_0.45_0.15_7.lparse.bz2;354960;1.238;0;0;1.1;0.14;8752;0;0;0;3549606
Clas;p;0;qsat_asp_3_15_16687_0.65_0.30_2.lparse.bz2;13923;0.061;0;0;0.06;0.0;8832;0;0;0;1392320
Clas;p;0;qsat_asp_3_15_17066_0.95_0.15_6.lparse.bz2;720;0.015;0;0;0.01;0.0;8912;0;0;0;72096
Clas;p;0;qsat_asp_3_15_18278_0.45_0.15_6.lparse.bz2;50840;0.265;0;0;0.24;0.02;8816;0;0;0;5084013
Clas;p;0;qsat_asp_3_15_18393_0.65_0.35_8.lparse.bz2;5016;0.024;0;0;0.01;0.01;8944;0;0;0;501610
Clas;p;0;qsat_asp_3_15_1947_0.45_0.15_9.lparse.bz2;2272512;6.671;0;0;5.99;0.67;8704;0;0;0;22725124
Clas;p;0;qsat_asp_3_15_20200_0.95_0.15_9.lparse.bz2;1296;0.013;0;0;0.0;0.0;9008;0;0;0;129619
Clas;p;0;qsat_asp_3_15_20242_0.45_0.15_5.lparse.bz2;255780;0.271;0;0;0.27;0.0;8256;0;0;0;255780
Clas;p;0;qsat_asp_3_15_2068_0.45_0.15_8.lparse.bz2;1574340;5.202;0;0;4.7;0.5;8720;0;0;0;1574340640
Clas;p;0;qsat_asp_3_15_20719_0.45_0.15_3.lparse.bz2;228096;0.688;0;0;0.6;0.08;8768;0;0;0;228096
Clas;p;0;qsat_asp_3_15_23619_0.45_0.15_1.lparse.bz2;21540;0.088;0;0;0.08;0.01;8752;0;0;0;21540
Clas;p;0;qsat_asp_3_15_238_0.45_0.30_3.lparse.bz2;5504;0.039;0;0;0.04;0.0;8928;0;0;0;550461
Clas;p;0;qsat_asp_3_15_24522_0.45_0.30_8.lparse.bz2;144;0.005;0;0;0.0;0.0;8800;0;0;0;14427
Clas;p;0;qsat_asp_3_15_29744_0.45_0.15_2.lparse.bz2;443393;1.462;0;0;1.28;0.18;8736;0;0;0;443393
Clas;p;0;qsat_asp_3_15_30747_0.65_0.15_9.lparse.bz2;17248;0.107;0;0;0.1;0.01;8976;0;0;0;17248443
Clas;p;0;qsat_asp_3_15_31025_0.65_0.15_3.lparse.bz2;4584;0.031;0;0;0.02;0.01;8816;0;0;0;458495
Clas;p;0;qsat_asp_3_15_3666_0.45_0.30_5.lparse.bz2;950;0.017;0;0;0.01;0.0;8768;0;0;0;95040
Clas;p;0;qsat_asp_3_15_3805_0.85_0.15_5.lparse.bz2;6761;0.016;0;0;0.02;0.0;8848;0;0;0;6761
Clas;p;0;qsat_asp_3_15_4152_0.65_0.15_6.lparse.bz2;227920;0.997;0;0;0.9;0.09;8832;0;0;0;227920597
Clas;p;0;qsat_asp_3_15_4351_0.45_0.35_9.lparse.bz2;34573;0.113;0;0;0.11;0.0;8672;0;0;0;34573
Clas;p;0;qsat_asp_3_15_4564_0.85_0.15_1.lparse.bz2;215920;0.673;0;0;0.58;0.08;8976;0;0;0;215920
Clas;p;0;qsat_asp_3_15_5143_0.45_0.30_9.lparse.bz2;132;0.005;0;0;0.0;0.0;8768;0;0;0;13221
Clas;p;0;qsat_asp_3_15_5319_0.85_0.15_6.lparse.bz2;27252;0.075;0;0;0.08;0.0;8832;0;0;0;27252
Clas;p;0;qsat_asp_3_15_658_0.85_0.15_9.lparse.bz2;30;0.004;0;0;0.0;0.0;8928;0;0;0;30
Clas;p;0;qsat_asp_3_15_674_0.85_0.15_3.lparse.bz2;46200;0.236;0;0;0.21;0.02;8880;0;0;0;46200
Clas;p;0;qsat_asp_3_15_778_0.95_0.15_8.lparse.bz2;6864;0.066;0;0;0.07;0.0;9008;0;0;0;68642067
Clas;p;0;qsat_asp_3_15_8778_0.45_0.15_4.lparse.bz2;600128;0.686;0;0;0.68;0.0;8352;0;0;0;600128
Clas;p;0;qsat_asp_3_15_9310_0.65_0.15_1.lparse.bz2;35360;0.131;0;0;0.12;0.0;8816;0;0;0;3536048
Clas;p;0;qsat_asp_3_20_10318_0.95_0.15_5.lparse.bz2;37440;0.225;0;0;0.2;0.02;9056;0;0;0;37440204
Clas;p;0;qsat_asp_3_20_11442_0.65_0.15_4.lparse.bz2;54820;0.361;0;0;0.34;0.02;8960;0;0;0;54820122
Clas;p;0;qsat_asp_3_20_12115_0.45_0.15_1.lparse.bz2;5731560;23.032;0;0;20.93;2.09;8848;0;0;0;5731560
Clas;p;0;qsat_asp_3_20_14290_0.45_0.15_8.lparse.bz2;15276765;75.64;0;0;68.87;6.68;8832;0;0;0;15276765
Clas;p;0;qsat_asp_3_20_15628_0.95_0.15_9.lparse.bz2;105408;0.652;0;0;0.63;0.02;9072;0;0;0;1054082571
Clas;p;0;qsat_asp_3_20_16944_0.65_0.15_3.lparse.bz2;63965112;231.965;0;0;209.02;22.86;8848;0;0;0;63965112
Clas;p;0;qsat_asp_3_20_17547_0.85_0.15_1.lparse.bz2;44145;0.36;0;0;0.35;0.01;9040;0;0;0;44145773
Clas;p;0;qsat_asp_3_20_17626_0.45_0.30_1.lparse.bz2;32256;0.251;0;0;0.23;0.02;8912;0;0;0;32256105
Clas;p;0;qsat_asp_3_20_19367_0.45_0.35_2.lparse.bz2;504;0.01;0;0;0.01;0.0;8864;0;0;0;50417
Clas;p;0;qsat_asp_3_20_20478_0.45_0.15_6.lparse.bz2;79436740+;300;0;0;300;0.0;8752;0;0;1;79436740+11
Clas;p;0;qsat_asp_3_20_25078_0.45_0.15_3.lparse.bz2;79158825+;300;0;0;300;0.0;8688;0;0;1;79158825+208673
Clas;p;0;qsat_asp_3_20_26065_0.95_0.15_4.lparse.bz2;5650560;26.035;0;0;24.08;1.94;8992;0;0;0;5650560878
Clas;p;0;qsat_asp_3_20_26650_0.65_0.15_10.lparse.bz2;54956442+;300;0;0;300;0.0;8752;0;0;1;54956442+50991
Clas;p;0;qsat_asp_3_20_27787_0.65_0.15_2.lparse.bz2;457254;2.827;0;0;2.61;0.21;8976;0;0;0;4572547729
Clas;p;0;qsat_asp_3_20_28443_0.45_0.15_9.lparse.bz2;541680;1.642;0;0;1.39;0.25;8864;0;0;0;541680
Clas;p;0;qsat_asp_3_20_28683_0.65_0.15_7.lparse.bz2;24299392;127.172;0;0;116.69;10.36;8944;0;0;0;24299392855252
Clas;p;0;qsat_asp_3_20_29259_0.45_0.30_3.lparse.bz2;2391120;14.658;0;0;13.4;1.24;8912;0;0;0;2391120
Clas;p;0;qsat_asp_3_20_29944_0.65_0.15_6.lparse.bz2;107736;0.58;0;0;0.53;0.04;8944;0;0;0;107736
Clas;p;0;qsat_asp_3_20_31977_0.45_0.30_2.lparse.bz2;216;0.006;0;0;0.01;0.0;8896;0;0;0;216
Clas;p;0;qsat_asp_3_20_476_0.65_0.15_8.lparse.bz2;169344;1.313;0;0;1.25;0.06;8976;0;0;0;1693443641
Clas;p;0;qsat_asp_3_20_6526_0.65_0.15_1.lparse.bz2;2628000;15.078;0;0;14.19;0.87;8944;0;0;0;262800034403
